ID,Action
23127,drop
61535,allow
31457,allow
49294,allow
8826,drop
41566,allow
42059,allow
60703,allow
56524,allow
32524,allow
9596,deny
30700,allow
7233,deny
4633,deny
28956,deny
52250,deny
4582,allow
44618,allow
26696,allow
54628,allow
30621,allow
18252,allow
57594,allow
59975,allow
59579,deny
17805,allow
50003,drop
57751,deny
61681,deny
25166,allow
55948,allow
315,allow
39405,deny
15478,allow
28789,deny
58924,allow
24825,drop
25654,allow
24339,deny
23711,allow
13846,allow
65466,deny
58159,allow
58561,allow
62234,drop
2130,allow
26743,allow
30303,allow
59664,allow
11054,allow
46718,allow
40547,deny
65218,allow
57390,drop
12888,allow
41324,allow
20489,allow
11621,allow
32273,drop
5585,allow
40211,deny
1621,allow
41812,deny
31443,allow
44212,allow
2518,allow
3504,allow
51396,deny
53114,allow
34710,drop
47420,allow
64269,allow
1485,allow
4919,allow
29057,allow
29683,allow
2426,drop
4738,drop
58736,deny
59687,allow
63666,allow
60804,allow
4842,allow
46994,drop
55826,allow
43200,drop
13203,allow
39368,allow
47202,deny
42388,deny
42971,allow
15490,allow
6050,deny
3346,allow
47459,allow
45291,drop
28072,deny
49699,deny
46011,deny
32757,allow
63173,drop
28440,drop
38804,allow
14818,drop
43377,deny
471,allow
36234,allow
14678,allow
41473,deny
6416,drop
27296,drop
9777,drop
30633,allow
29382,allow
41563,allow
11426,deny
24777,drop
43917,deny
45507,allow
26380,deny
38243,drop
16028,drop
11813,allow
38349,allow
12970,allow
16303,allow
43108,allow
47002,drop
21838,drop
61765,drop
11333,allow
5532,allow
17519,allow
22558,deny
33132,allow
13014,deny
29509,allow
58015,allow
6845,drop
18784,allow
50190,allow
38971,allow
60072,allow
11984,drop
16266,allow
51976,allow
57705,allow
16476,deny
25241,allow
9398,deny
49795,drop
65056,drop
9733,allow
18073,drop
47642,allow
6943,allow
40946,drop
41798,deny
65021,drop
22031,drop
14115,allow
59510,drop
2612,allow
60264,deny
47436,allow
29571,deny
31912,allow
36476,allow
31206,allow
49385,drop
21496,allow
43345,allow
15979,deny
22238,drop
22272,allow
50893,allow
39452,drop
23267,deny
57894,allow
24870,drop
34566,drop
33821,deny
31158,allow
11034,allow
64245,deny
49661,allow
3207,drop
27406,allow
3109,allow
20069,allow
18664,allow
3430,allow
28018,drop
46834,allow
38818,allow
19029,deny
2031,deny
18434,deny
57649,allow
43562,deny
32910,drop
43735,allow
30919,allow
23847,allow
19040,drop
31544,deny
30857,allow
29019,allow
41597,allow
37952,allow
25150,allow
1387,drop
20067,allow
39491,deny
5697,deny
64298,allow
16265,allow
62366,allow
18061,deny
21873,allow
36874,allow
23638,deny
29242,allow
12077,allow
46951,deny
1448,deny
53542,deny
39856,drop
6624,allow
23295,deny
5824,allow
13385,allow
52242,drop
6669,allow
65229,allow
3314,allow
32515,allow
44869,allow
29970,drop
20263,drop
13414,allow
49787,deny
3912,allow
22740,drop
21623,allow
60910,deny
15248,drop
44714,drop
49911,allow
20682,allow
47468,allow
48937,allow
20597,allow
21035,allow
23173,drop
38966,allow
44102,allow
55614,allow
19484,allow
5054,allow
1237,allow
47167,allow
12353,allow
57401,deny
61456,deny
32794,allow
24155,deny
13991,deny
17145,allow
25245,allow
21908,allow
31948,allow
48766,allow
8865,deny
64523,drop
21641,allow
21067,allow
54170,allow
4108,allow
59892,deny
46027,drop
39410,reset-both
37911,allow
8149,allow
63227,allow
12693,allow
27458,drop
30326,allow
33767,allow
62099,allow
15237,drop
14135,deny
